Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,URL_Entropy,Domain_Entropy,Subdomain_Count,Digit_Count,Special_Char_Count,Uppercase_Ratio,Domain_Age,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
metacafe.com,0,0,1,3,0,0,0,0,4.542930907952342,2.918295834054489,0,3,0,0.05,8710,1,1,1,1,0
youtube.com,0,0,0,1,0,0,0,0,4.57149992907039,3.095795255000934,0,3,1,0.0232558139534883,-1,0,0,1,0,0
oliver-hardy.gonetoosoon.org,0,0,0,0,0,0,0,1,4.05448073717368,3.6499844950373648,1,0,0,0.0,-1,1,1,1,1,0
sportsillustrated.cnn.com,0,0,1,10,0,0,0,0,4.635739381441797,3.7834651896016473,1,19,0,0.018018018018018,-1,1,1,1,1,0
city-data.com,0,0,1,3,0,0,0,1,4.317785240177574,3.238901256602631,0,6,0,0.0,7875,1,1,1,0,0
linkedin.com,0,0,0,2,0,0,0,0,4.109793482608794,3.2516291673878226,0,0,0,0.0,8167,1,0,1,0,0
mylife.com,0,0,0,1,0,0,0,0,4.0860486123130375,3.1219280948873624,0,0,0,0.0,10188,1,0,1,0,0
tviv.org,0,0,0,2,0,0,0,0,3.869331261111518,2.75,0,2,0,0.0357142857142857,7120,1,1,1,1,0
pennsylvania.hometownlocator.com,0,0,1,3,0,0,0,0,4.102299103071673,3.8636085007312415,1,0,0,0.0,-1,1,1,1,1,0
jeremyhowardbeck.com,0,0,1,1,0,0,0,0,4.334078253057284,3.684183719779189,0,0,0,0.0,-1,1,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.035724486655665,3.452819531114783,1,0,0,0.0444444444444444,-1,1,1,1,1,0
zoominfo.com,0,0,1,2,0,0,0,0,4.695501148817396,2.7516291673878226,0,7,0,0.032258064516129,7819,1,0,1,0,0
worthpoint.com,0,0,1,2,0,0,1,0,4.322048343671982,3.3248629576173565,0,4,0,0.0,6638,1,0,1,0,0
sportsdesignblog.com,0,0,1,3,0,0,0,0,4.492948273365293,3.746439344671016,0,6,0,0.0,5846,1,0,1,0,0
vacationskerala.com,0,0,1,2,0,0,0,0,4.217748967703104,3.616348566075165,0,0,0,0.0,511,1,1,1,1,0
veterinerhekimiz.com,0,0,1,1,0,0,0,0,4.262311997737562,3.484183719779189,0,0,0,0.0,6578,1,1,1,1,0
norwichbulletin.com,0,0,1,4,0,0,0,0,4.797666825623971,3.7216117239699016,0,9,0,0.025,9443,1,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,4.03280638688745,3.452819531114783,1,0,0,0.0416666666666666,-1,1,1,1,1,0
